Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,
Oklahoma,"528,109","85,290","139,173",264,"1,632","876,514","1,660",10.28,6.30,"839,809","1,590",9.85,6.03,"1,962,811,336","3,717","23,013","14,103","2,337","138,541,024","13,757,284","7,133",,,,,,,,,
Oregon,"458,526","49,379","71,906",157,"1,456","440,785",961,8.93,6.13,"409,727",894,8.30,5.70,"1,238,163,635","2,700","25,075","17,219","3,022","79,158,404","7,444,169","3,692",,,,,,,,,
Pennsylvania,"1,481,205","227,400","373,709",252,"1,643","2,353,735","1,589",10.35,6.30,"2,207,889","1,491",9.71,5.91,"5,641,489,556","3,809","24,809","15,096","2,555","366,420,811","44,163,051","14,671",,,,,,,,,
Rhode Island,"109,984","15,306","24,600",224,"1,607","159,340","1,449",10.41,6.48,"137,089","1,246",8.96,5.57,"352,384,747","3,204","23,023","14,325","2,570","24,864,164","2,969,166",799,,,,,,,,,
South Carolina,"707,164","98,488","157,331",222,"1,597","1,009,816","1,428",10.25,6.42,"936,661","1,325",9.51,5.95,"2,290,804,022","3,239","23,260","14,560","2,446","156,557,588","14,906,887","7,066",,,,,,,,,
South Dakota,"136,409","23,109","35,366",259,"1,530","183,727","1,347",7.95,5.20,"177,783","1,303",7.69,5.03,"500,041,039","3,666","21,638","14,139","2,813","37,646,666","2,301,246","1,400",,,,,,,,,
Tennessee,"763,609","111,701","178,791",234,"1,601","1,093,957","1,433",9.79,6.12,"1,036,370","1,357",9.28,5.80,"2,352,379,463","3,081","21,060","13,157","2,270","180,236,283","14,361,091","9,128",,,,,,,,,
Texas,"2,343,348","350,259","597,552",255,"1,706","4,001,576","1,708",11.42,6.70,"3,795,481","1,620",10.84,6.35,"9,762,250,715","4,166","27,872","16,337","2,572","564,763,602","81,778,784","25,160",,,,,,,,,
Utah,"239,499","28,894","42,098",176,"1,457","211,667",884,7.33,5.03,"200,513",837,6.94,4.76,"651,161,601","2,719","22,536","15,468","3,247","44,909,986","2,210,463","1,465",,,,,,,,,
Vermont,"124,291","14,775","22,478",181,"1,521","137,914","1,110",9.33,6.14,"126,879","1,021",8.59,5.64,"375,476,807","3,021","25,413","16,704","2,959","23,985,848","2,511,484",963,,,,,,,,,
